Location,Country_code,Diseases,Diseases Deaths
Comoros,COM,"Trachea, bronchus, lung cancers",0
United States of America,USA,Ischaemic heart disease,1070079
Pakistan,PAK,Ischaemic heart disease,1082777
China,CHN,Lower respiratory infections,1127187
China,CHN,Chronic obstructive pulmonary disease,1130746
Egypt,EGY,Ischaemic heart disease,1140887
Indonesia,IDN,Ischaemic heart disease,1238496
Russian Federation,RUS,Ischaemic heart disease,1367427
India,IND,Stroke,1453026
Pakistan,PAK,Lower respiratory infections,1508143
India,IND,Chronic obstructive pulmonary disease,1612894
Nigeria,NGA,Lower respiratory infections,1707227
Pakistan,PAK,Ischaemic heart disease,1707817
India,IND,Stroke,1746258
China,CHN,Chronic obstructive pulmonary disease,1772516
China,CHN,"Trachea, bronchus, lung cancers",1823496
Antigua and Barbuda,ATG,"Trachea, bronchus, lung cancers",1.16
Saint Lucia,LCA,"Trachea, bronchus, lung cancers",1.88
Togo,TGO,Ischaemic heart disease,10042
Paraguay,PRY,Ischaemic heart disease,10082
Uzbekistan,UZB,"Trachea, bronchus, lung cancers",10089
Hungary,HUN,Stroke,10110
Kazakhstan,KAZ,"Trachea, bronchus, lung cancers",10116
Dominican Republic,DOM,Stroke,10130
El Salvador,SLV,Lower respiratory infections,10130
Pakistan,PAK,"Trachea, bronchus, lung cancers",10173
Greece,GRC,"Trachea, bronchus, lung cancers",10177
Colombia,COL,Chronic obstructive pulmonary disease,10179
Canada,CAN,Stroke,10180
Egypt,EGY,"Trachea, bronchus, lung cancers",10199
Liberia,LBR,Ischaemic heart disease,10212
Rwanda,RWA,Stroke,10239
Republic of Korea,KOR,"Trachea, bronchus, lung cancers",10244
Somalia,SOM,Ischaemic heart disease,10314
Sri Lanka,LKA,Stroke,10327
Ireland,IRL,Ischaemic heart disease,10359
Singapore,SGP,Lower respiratory infections,10402
Chile,CHL,Stroke,10434
Guinea,GIN,Stroke,10459
Mongolia,MNG,Ischaemic heart disease,10471
Algeria,DZA,"Trachea, bronchus, lung cancers",10483
Benin,BEN,Stroke,10484
Poland,POL,Chronic obstructive pulmonary disease,10505
Eritrea,ERI,Ischaemic heart disease,10508
Malaysia,MYS,"Trachea, bronchus, lung cancers",10603
Algeria,DZA,Chronic obstructive pulmonary disease,10609
France,FRA,"Trachea, bronchus, lung cancers",10628
Tunisia,TUN,Stroke,10662
Tunisia,TUN,Lower respiratory infections,10673
Morocco,MAR,"Trachea, bronchus, lung cancers",10730
Netherlands,NLD,"Trachea, bronchus, lung cancers",10741
Lao People's Democratic Republic,LAO,Ischaemic heart disease,10818
Lesotho,LSO,Lower respiratory infections,10820
Bolivia (Plurinational State of),BOL,Stroke,10851
Myanmar,MMR,"Trachea, bronchus, lung cancers",10879
Saudi Arabia,SAU,Chronic obstructive pulmonary disease,10885
Romania,ROU,Lower respiratory infections,10909
Côte d’Ivoire,CIV,Chronic obstructive pulmonary disease,10920
Papua New Guinea,PNG,Lower respiratory infections,10954
Republic of Moldova,MDA,Stroke,10961
Equatorial Guinea,GNQ,Lower respiratory infections,10971
New Zealand,NZL,Ischaemic heart disease,10995
Belize,BLZ,"Trachea, bronchus, lung cancers",10.08
Tonga,TON,"Trachea, bronchus, lung cancers",10.73
Malaysia,MYS,Lower respiratory infections,100659
Mali,MLI,Lower respiratory infections,100932
Slovakia,SVK,"Trachea, bronchus, lung cancers",1003
Solomon Islands,SLB,Stroke,1005
Solomon Islands,SLB,Lower respiratory infections,1005
Croatia,HRV,Lower respiratory infections,1007
Samoa,WSM,Stroke,101.9
Guyana,GUY,Lower respiratory infections,1010
Qatar,QAT,Stroke,1010
Cyprus,CYP,Ischaemic heart disease,1010
Brunei Darussalam,BRN,Ischaemic heart disease,1011
Bosnia and Herzegovina,BIH,Lower respiratory infections,1018
